3月7日現在,,,,
銘柄コード,銘柄名,上場グループ種別,売買単位,貸借区分
2031,ハンセンブル,外国投信受益証券,1,制度信用銘柄
2032,ハンセンベア,外国投信受益証券,1,制度信用銘柄
2033,ＫＯＳＰＩブル,外国投信受益証券,1,制度信用銘柄
2034,ＫＯＳＰＩベア,外国投信受益証券,1,制度信用銘柄
2035,日経ＶＩ,外国投信受益証券,1,制度信用銘柄
2036,金ブル,外国投信受益証券,1,制度信用銘柄
2037,金ベア,外国投信受益証券,1,制度信用銘柄
2038,原油ブル,外国投信受益証券,1,制度信用銘柄
2039,原油ベア,外国投信受益証券,1,制度信用銘柄
2040,ＮＹダウブルＥＴＮ,外国投信受益証券,1,制度信用銘柄
2041,ＮＹダウベアＥＴＮ,外国投信受益証券,1,制度信用銘柄
2042,マザーズＥＴＮ,外国投信受益証券,1,制度信用銘柄
2043,アセアン５０ＥＴＮ,外国投信受益証券,1,制度信用銘柄
2044,米国配当貴族ＥＴＮ,外国投信受益証券,1,制度信用銘柄
2045,シンガポールリート,外国投信受益証券,1,制度信用銘柄
