▼一般信用（長期・売短）売建可能銘柄一覧
種類,融資銘柄,銘柄コード,銘柄名称
長期,,3288,オープンハウス
長期,,3289,東急不動産ホールディングス
売短,○,3290,ＳＩＡ不動産投資法人　投資証券
長期,,3291,飯田グループホールディングス
長期,,3292,イオンリート投資法人　投資証券
長期,,3295,ヒューリックリート投資法人　投資証券
長期,○,3296,日本リート投資法人　投資証券
長期,○,3298,インベスコ・オフィス・ジェイリート投資法人　投資証券
長期,○,3302,帝国繊維
売短,○,3308,日本ヘルスケア投資法人　投資証券
長期,○,3309,積水ハウス・リート投資法人　投資証券
長期,○,3315,日本コークス工業
売短,○,3318,メガネスーパー
売短,○,3319,ゴルフダイジェスト・オンライン
売短,,3320,クロスプラス
長期,,3321,ミタチ産業
売短,,3329,東和フードサービス
長期,○,3333,あさひ
長期,,3349,コスモス薬品
長期,,3360,シップヘルスケアホールディングス
長期,○,3361,トーエル
長期,○,3366,一六堂
長期,,3371,ソフトクリエイトホールディングス
売短,○,3376,オンリー
売短,,3377,バイク王＆カンパニー
長期,,3382,セブン＆アイ・ホールディングス
売短,○,3384,アークコア
売短,,3385,薬王堂
売短,,3386,コスモ・バイオ
長期,,3391,ツルハホールディングス
長期,,3395,サンマルクホールディングス
長期,○,3396,フェリシモ
長期,,3397,トリドール
長期,,3398,クスリのアオキ
長期,,3401,帝人
長期,,3402,東レ
長期,,3405,クラレ
長期,,3407,旭化成
長期,,3408,サカイオーベックス
売短,○,3421,稲葉製作所
長期,○,3433,トーカロ
長期,,3436,ＳＵＭＣＯ
売短,○,3440,日創プロニティ
売短,○,3451,トーセイ・リート投資法人　投資証券
長期,○,3453,ケネディクス商業リート投資法人　投資証券
売短,○,3455,ヘルスケア＆メディカル投資法人　投資証券
売短,○,3459,サムティ・レジデンシャル投資法人　投資証券
長期,,3462,野村不動産マスターファンド投資法人　投資証券
長期,○,3466,ラサールロジポート投資法人　投資証券
長期,,3501,住江織物
長期,○,3513,イチカワ
長期,,3529,アツギ
売短,○,3536,アクサスホールディングス
長期,○,3551,ダイニック
長期,,3553,共和レザー
